Year,Terrestrial-Sink,CABLE,CLASS-CTEM,CLM5.0,DLEM,ISAM,JSBACH,JULES,LPJ-GUESS ,LPJ ,LPX-Bern,OCN,ORCHIDEE-CNP,ORCHIDEE-Trunk,SDGVM,SURFEX,VISIT,MMM
1999,3.705,4.918,3.427,3.341,4.268,3.500,4.765,3.993,3.514,3.296,2.901,4.033,3.404,3.647,2.109,3.297,4.867,3.705
2000,3.987,4.978,5.411,3.261,3.811,3.220,4.915,4.709,4.171,3.900,3.349,4.436,2.983,3.968,2.349,3.466,4.864,3.987
2001,2.407,3.591,3.617,2.653,2.282,2.343,2.736,2.671,0.968,1.961,0.902,3.296,0.314,2.091,2.215,2.939,3.934,2.407
2002,0.909,2.170,0.388,2.358,1.289,1.415,1.120,0.731,-0.620,0.205,-0.914,1.811,0.099,0.973,-0.335,2.444,1.407,0.909
2003,2.314,3.318,2.111,2.738,2.879,2.153,3.780,1.855,1.718,1.281,0.424,3.297,0.615,2.302,3.074,2.741,2.744,2.314
2004,3.464,5.255,3.446,3.048,3.256,3.314,3.581,3.326,4.849,3.445,2.164,4.307,2.176,3.226,2.637,3.217,4.169,3.464
2005,1.607,1.694,1.434,2.755,2.479,1.500,1.647,1.805,0.586,1.234,0.052,2.754,-0.051,1.510,1.535,2.690,2.087,1.607
2006,3.122,3.948,2.319,2.847,3.954,2.820,3.344,3.044,2.654,2.637,2.168,3.968,2.065,3.066,3.813,3.334,3.965,3.122
2007,2.792,4.394,2.901,2.886,3.552,2.486,4.082,3.724,1.605,1.728,0.699,3.495,1.887,2.737,1.141,3.078,4.287,2.792
2008,3.709,4.919,3.942,2.611,4.064,3.450,4.630,4.151,4.866,3.137,2.440,4.332,3.366,3.438,1.982,3.205,4.809,3.709
2009,2.773,3.888,2.985,2.582,2.948,2.206,3.485,2.409,2.435,3.410,2.004,3.547,1.160,1.969,2.366,3.082,3.890,2.773
2010,3.099,3.875,4.203,3.363,2.633,2.040,5.214,1.487,3.730,2.456,1.667,3.779,0.626,3.275,4.292,2.901,4.049,3.099
2011,4.254,6.027,4.319,3.762,4.396,3.763,4.629,5.215,4.257,4.162,2.761,5.234,2.943,3.904,2.968,4.036,5.696,4.254
2012,2.489,3.229,2.305,2.977,2.911,2.372,2.632,2.974,0.219,1.777,0.948,3.744,1.527,2.337,1.639,4.137,4.104,2.489
2013,3.268,5.035,3.744,2.940,3.524,2.895,4.566,2.576,4.146,3.499,2.407,3.533,1.392,2.785,2.175,3.097,3.965,3.268
2014,3.803,5.283,4.158,3.734,4.334,3.422,3.370,3.412,4.036,4.432,2.575,4.869,1.634,3.506,3.176,3.720,5.192,3.803
2015,1.838,2.832,0.816,2.631,1.805,2.165,1.566,2.062,-0.233,2.301,-0.292,3.560,-0.270,1.395,2.122,3.941,3.003,1.838
2016,2.577,3.733,2.648,3.328,3.026,2.445,3.662,1.126,2.391,2.371,1.624,3.927,-0.024,2.613,3.847,2.422,2.094,2.577
2017,3.782,5.038,4.968,3.140,3.440,3.340,4.076,3.091,4.358,3.315,2.587,4.397,2.603,4.007,3.148,4.381,4.626,3.782
